component;property;de;en;Dev-status
SHOGun.client.view.panel.MeasurementToolsPanel;config.data.clickToDrawText;Klicken zum Messen;Click to measure;OK
SHOGun.client.view.panel.MeasurementToolsPanel;config.data.continueLineMsg;Klicken zum Zeichnen der Strecke;Click to draw line;OK
SHOGun.client.view.panel.MeasurementToolsPanel;config.data.continuePolygonMsg;Klicken zum Zeichnen der Fläche;Click to draw area;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.drawPointsBtnText;Punkt zeichnen;Draw Point;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.drawLinesBtnText;Linie zeichnen;Draw Line;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.drawPolygonsBtnText;Polygon zeichen;Draw Polygon;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.drawCirclesBtnText;Kreis zeichnen;Draw circle;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.drawRectanglesBtnText;Rechteck zeichnen;Draw rectangle;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.drawTextBtnText;Beschriftung einfügen;Add label;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.drawPostItBtnText;Post-it zeichnen;Draw Post-it;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.copyObjectBtnText;Objekt kopieren;Copy Object;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.moveObjectBtnText;Objekt verschieben;Move Object;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.modifyObjectBtnText;Objekt modifizieren;Modify Object;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.deleteObjectBtnText;Objekt löschen;Delete Object;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.openStyleBtnText;Styler;Styler;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.postItWindowTitle;Post-it Text eingeben;Enter Post-it Text;OK
SHOGun.client.view.panel.RedliningToolsPanel;config.data.textWindowTitle;Beschriftungstext eingeben;Enter label text;OK
SHOGun.client.view.panel.WorkstateToolsPanel;config.data.loadSaveWorkstateBtnText;Arbeitstände laden/speichern;load/save Workstates;OK
SHOGun.client.view.panel.WorkstateToolsPanel;config.data.permalinkBtnTooltip;Permalink erzeugen;Generate Permalink;NOT OK - not binding
SHOGun.client.view.panel.WorkstateToolsPanel;config.data.permalinkTitle;Link zur Anwendung;URL to application;NOT OK - not binding
SHOGun.client.view.panel.WorkstateToolsPanel;config.data.applicationStateWinTitle;Arbeitsstände;Application states;OK
SHOGun.client.view.window.document.DocumentPdfUpload;config.data.title;PDF Dokumenten-Upload;PDF document upload;OK
SHOGun.client.view.window.document.DocumentPdfUpload;config.data.uploadBtnText;Upload starten;Start upload;OK
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.title;Dokumente;Documents;OK
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textOpenSelectedDoc;Dokument öffnen;Open selected document;OK
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textDeleteSelectedDoc;Dokument löschen;Delete selected document;OK
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textCreateNewDoc;Neues Dokument erstellen;Create new document;OK
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textPromptMessageNewDoc;Bitte neuen Namen für Dokument eingeben;Please enter a name for the new document;OK
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textDeleteDoc;Dokument löschen;Delete a document;OK
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textPromptDeleteDoc;Sind Sie sicher; dass Sie das Dokument {0} löschen wollen?;Та энэ баримт бичгийг устгахдаа итгэлтэй байна уу;OK;;;;;;;;;;;;;;;;;
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textUnknownError;Ein unbekannter Fehler ist aufgetreten;An unknown error occured.; -
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textCouldNotCreateDocument;Dokument konnte nicht erstellt werden.;Could not create document.; -
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textCouldNotDeleteDocument;Dokument konnte nicht gelöscht werden.;Could not delete document.; -
SHOGun.client.view.window.document.ListDocumentsWindow;config.data.textSuccessDeleteDoc;Dokument {0} wurde erfolgreich gelöscht.;"Successfully deleted the document ""{0}""";OK
SHOGun.client.view.window.RedliningStylerWindow;config.data.title;Zeichnungsstil;Drawing Style;OK
SHOGun.client.view.window.RedliningStylerWindow;config.data.pointStyleFieldSetTitle;Punktstil;Point Style;OK
SHOGun.client.view.window.RedliningStylerWindow;config.data.pointStyleRadiusNumberFieldLabel;Punkt Radius;Point Radius;OK
